a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w
"2177",8,"Spear of Atlas","The divine weapon that was given to Atlas when he won his first battle","",3000,"pool","{}",0,1724,"iap_game_pool_atlanteanspear.webp","iap_game_pool_atlanteanspear_preview.webp","","","","","","","",1177,1,"",""
"4003",8,"Flamingo","Perch up and play with the Flamingo card set in Ocho","",1500,"crazy8","{}",0,387,"iap_game_crazy8_flamingo.webp","iap_game_crazy8_flamingo_preview.webp","","","","","","","",1003,0,"",""
"60215",6,"Carpet**","Suitable for praying any where you want","",500,"","{}",1,1375,"iap_badge_carpet.webp","iap_badge_carpet_preview.webp","iap_badge_carpet_54x54.webp","","","","","","",-1,0,"",""
"803",7,"Wanderlust","The world is too large and time is too short for you to stand still","",500,"","{}",0,353,"iap_banner_wanderlust.webp","iap_banner_wanderlust_asset.webp","","iap_banner_wanderlust_asset.webp","","","","","",-1,0,"",""
"1010",8,"Azzurri","Play as Azzurri in Table Soccer with this team kit","",1000,"tablesoccer","{\"description_es\":\"Juega como Azzurri en la tabla del fútbol con este kit de equipo\"\,\"description_fr\":\"Incarnez Azzurri dans le tableau de football avec ce kit d'équipe\"}",0,394,"iap_game_tablesoccer_azzurri.webp","iap_game_tablesoccer_azzurri_preview.webp","","","","","","","",1,0,"",""
"19008",4,"Mirror Bubble**","Self-reflection is good for the soul","",5000,"","{}",1,1126,"iap_mirror_item_3.webp","iap_mirror_preview_3.webp","iap_mirror_item_54x54_3.webp","iap_mirror_asset_3.png","#150083","#b61300","#b61300","#ffdb60","",-1,0,"",""
"60187",6,"Hyacinth**","The symbol of spring's arrival","",500,"","{}",1,1151,"iap_badge_hyacinth.webp","iap_badge_hyacinth_preview.webp","iap_badge_hyacinth_54x54.webp","","","","","","",-1,0,"",""
"926",7,"Blue Yonder","Cool water\, clear mind","",1000,"","{}",0,1604,"iap_banner_blueyonder.webp","iap_banner_blueyonder_asset.webp","","iap_banner_blueyonder_asset.webp","","","","","",-1,0,"",""
"4109",8,"Pixel Hearts","* Exclusive Ocho Tournament prize","",4000,"crazy8","{}",1,994,"iap_game_crazy8_pixelhearts.webp","iap_game_crazy8_pixelhearts_preview.webp","","","","","","","",1109,0,"",""
"4145",8,"Lost Droids**","When the sun goes down\, the junkbot's venture out to explore","",2000,"crazy8","{}",1,1460,"iap_game_crazy8_lostdriods.webp","iap_game_crazy8_lostdriods_preview.webp","","","","","","","",1145,0,"",""
"867",7,"Planet Farm**","Now growing wonder","",3000,"","{}",1,1424,"iap_banner_planetfarm.webp","iap_banner_planetfarm_asset.webp","","iap_banner_planetfarm_asset.webp","","","","","",-1,0,"",""
"2042",8,"Volcano","* Exclusive Tournament prize!","",2500,"pool","{}",1,45,"iap_game_pool_volcano.webp","iap_game_pool_volcano_preview.webp","","","","","","","",1042,0,"",""
"20144",1,"S1 Bronze Frame","* Exclusive reward for getting to Bronze in Season 1 Ranked!","",999999,"","{}",1,1264,"iap_frame_bronze_rankeds1.webp","iap_frame_bronze_rankeds1_preview.webp","","iap_frame_bronze_rankeds1_350x350.webp","","","","","",-1,0,"","over"
"139",4,"Aquarium","It's a whole new world... in your living room","",1000,"","{}",0,890,"iap_aquarium_item.webp","iap_aquarium_preview.webp","iap_aquarium_item_54x54.webp","iap_aquarium_asset.png","#FFFFFF","#087D50","#085029","#A0F845","",-1,0,"",""
"4118",8,"The World","*Exclusive Ocho Tournament Prize","",4000,"crazy8","{}",1,1087,"iap_game_crazy8_tarotworld.webp","iap_game_crazy8_tarotworld_preview.webp","","","","","","","",1118,0,"",""
"20117",1,"Chocomelt**","Have you ever met a chocolate you didn’t like?","",3000,"","{}",1,1006,"iap_frame_chocomelt.webp","iap_frame_chocomelt_preview.webp","","iap_frame_chocomelt_350x350.webp","","","","","",-1,0,"","over"
"60220",6,"Earthmender Badge**","Earth Elementalist","",500,"","{}",1,1285,"iap_badge_earthmender.webp","iap_badge_earthmender_preview.webp","iap_badge_earthmender_54x54.webp","","","","","","",-1,0,"",""
"60250",6,"Jane Badge","Jane doesn’t like being the center of attention and tends to laugh uncontrollably when put on the spot 

Dislikes: Zack","",500,"","{}",1,1600,"iap_badge_jane.webp","iap_badge_jane_preview.webp","iap_badge_jane_54x54.webp","","","","","","",-1,0,"",""
"1076",8,"France Cue*","Liberté\, Égalité\, Fraternité (special sound fx)","",2500,"pool","{}",1,503,"iap_game_pool_france.webp","iap_game_pool_france_preview.webp","","","","","","","",1076,0,"",""
"2123",8,"Bullet-Time Cue","Enter bullet-time mode to dodge and weave your way from bullets (special sound fx)","",5000,"pool","{}",0,808,"iap_game_pool_matrixbullet_2.webp","iap_game_pool_matrixbullet_preview.webp","","","","","","","",1123,0,"",""
"4043",8,"Jungles**","We've got fun and games","",2000,"crazy8","{}",1,1555,"iap_game_crazy8_jungles.webp","iap_game_crazy8_jungles_preview.webp","","","","","","","",1043,0,"",""
"20023",1,"Devil*","It's all in the details","",500,"","{}",1,300,"iap_frame_devil.webp","iap_frame_devil_preview.webp","","iap_frame_devil_350x350.webp","","","","","",-1,0,"","under"
"124",4,"Dragon Roll","Fire! Change your chat bubble into an Asian Dragon","",2500,"","{}",0,306,"iap_sushidragon_item_1.webp","iap_sushidragon_preview.webp","iap_sushidragon_item_1_54x54.webp","iap_sushidragon_asset_1.png","#FFFFFF","#FCB6B2","#FFE691","#BFFF22","",-1,0,"",""
"4077",8,"Hibiscus Card","* Exclusive Ocho Tournament prize!","",5000,"crazy8","{}",1,593,"iap_game_crazy8_hibiscus.webp","iap_game_crazy8_hibiscus_preview.webp","","","","","","","",1077,0,"",""
"966",7,"Little Frost Hood**","She was told not to ever go into the woods on her own...","",5000,"","{}",1,1499,"iap_banner_frosthood.webp","iap_banner_frosthood_asset.webp","","iap_banner_frosthood_asset.webp","","","","","",-1,0,"",""
"1055",8,"Playful Pups","Play as Playful Pups in Table Soccer (special sound fx)","",3000,"tablesoccer","{}",0,1189,"iap_game_tablesoccer_dog.webp","iap_game_tablesoccer_dog_preview.webp","","","","","","","",55,0,"",""
"2507",8,"Plato 95 Table**","Bang on the left side of the table to restart Plato 95","",12000,"pool","{}",1,1236,"iap_game_pool_plato95.webp","iap_game_pool_plato95_preview.webp","","","","","","","",10007,0,"",""
"60074",6,"Om*","A sacred symbol and incantation","",250,"","{}",1,551,"iap_badge_ohm.webp","iap_badge_ohm_preview.webp","iap_badge_ohm_54x54.webp","","","","","","",-1,0,"",""
"2023",8,"Camo","Blend in with the Camo cue in Pool","",750,"pool","{}",0,1542,"iap_game_pool_camo.webp","iap_game_pool_camo_preview.webp","","","","","","","",1016,0,"",""
"2154",8,"Rolling Pin","* Exclusive Pool Tournament Prize!","",7500,"pool","{}",1,1365,"iap_game_pool_rollingpin.webp","iap_game_pool_rollingpin_preview.webp","","","","","","","",1154,0,"",""
"4116",8,"Wanderman","A wanderer searching for love that stays forever","",2000,"crazy8","{}",0,1053,"iap_game_crazy8_cassetteplayer.webp","iap_game_crazy8_cassetteplayer_preview.webp","","","","","","","",1116,0,"",""
"8032",8,"Yarn Ball","Appeals to a cat's instinctive and playful behaviors","",2000,"bowling","{}",0,1182,"iap_game_bowling_ball_yarn.webp","iap_game_bowling_ball_yarn_preview.webp","","","","","","","",1032,0,"",""
"60022",6,"Triggered Hoot","* Exclusive Tournament prize","",500,"","{}",1,69,"iap_badge_hoot.webp","iap_badge_hoot_preview.webp","iap_badge_hoot_54x54.webp","","","","","","",-1,0,"",""
"1017",8,"North Pole**","Play as North Pole in Table Soccer with this team kit","",1000,"tablesoccer","{}",1,61,"iap_game_tablesoccer_northpole.webp","iap_game_tablesoccer_northpole_preview.webp","","","","","","","",17,0,"",""
"4015",8,"Thanatos*","His touch was gentle...","",750,"crazy8","{}",1,151,"iap_game_crazy8_thanatos.webp","iap_game_crazy8_thanatos_preview.webp","","","","","","","",1015,0,"",""
"19001",4,"Blue Rose Bubble","* Exclusive 2022 Coins Gifter Prize!","",10000,"","{}",1,1026,"iap_bluerose_item.webp","iap_bluerose_preview.webp","iap_bluerose_item_54x54.webp","iap_bluerose_asset.png","#ffffff","#9bd4d4","#1f2e60","#00abab","",-1,0,"",""
"29016",7,"Majestic Feline","An archer and her majestic feline tears across an unknown territory","",2500,"","{}",0,1222,"iap_banner_majesticfeline.webp","iap_banner_majesticfeline_asset.webp","","iap_banner_majesticfeline_asset.webp","","","","","",-1,0,"",""
"176",4,"Bratwurst Chat Bubble*","Delicious since 1313","",2500,"","{}",1,642,"iap_bratwurst_item.webp","iap_bratwurst_preview.webp","iap_bratwurst_item_54x54.webp","iap_bratwurst_asset.png","#FDDDD9","#FFFFFF","#FBA59B","#671E17","",-1,0,"",""
"19054",4,"Blue Tent Bubble","* Exclusive Tournament Prize!","",5000,"","{}",1,1632,"iap_tentblue_item.webp","iap_tentblue_preview.webp","iap_tentblue_item_54x54.webp","iap_tentblue_asset.png","#b1d0de","#00d2ff","#000101","#00d2ff","",-1,0,"",""
"20047",1,"Cupid's Arrow**","Shot through the heart","",2000,"","{}",1,976,"iap_frame_cupid.webp","iap_frame_cupid_preview.webp","","iap_frame_cupid_350x350.webp","","","","","",-1,0,"","under"
"737",6,"Sweet Heart**","Unwrap a smile","",1500,"","{}",1,954,"iap_badge_sweetheart.webp","iap_badge_sweetheart_preview.webp","iap_badge_sweetheart_54x54.webp","","","","","","",-1,0,"",""
"885",7,"Reindeer Road Rage*","Ho\, ho\, ohhh!","",500,"","{}",1,187,"iap_banner_reindeer.webp","iap_banner_reindeer_asset.webp","","iap_banner_reindeer_asset.webp","","","","","",-1,0,"",""
"19000",4,"Red Rose Bubble","* Exclusive 2022 Coins Gifter Prize!","",10000,"","{}",1,1025,"iap_redrose_item.webp","iap_redrose_preview.webp","iap_redrose_item_54x54.webp","iap_redrose_asset.png","#ffffff","#9bd4d4","#1f2e60","#00abab","",-1,0,"",""
"601",6,"Female Badge","A female symbol collectable name badge","",100,"","{}",0,325,"iap_badge_female.webp","iap_badge_female_preview.webp","iap_badge_female_54x54.webp","","","","","","",-1,0,"",""
"773",6,"Apple**","For eternal beauty ","",500,"","{}",1,1118,"iap_badge_apple.webp","iap_badge_apple_preview.webp","iap_badge_apple_54x54.webp","","","","","","",-1,0,"",""
"797",6,"Chicken Noodles","* Exclusive Eid Tournament prize","",500,"","{}",1,84,"iap_badge_chickennoodles.webp","iap_badge_chickennoodles_preview.webp","iap_badge_chickennoodles_54x54.webp","","","","","","",-1,0,"",""
"4049",8,"Bopping","* Exclusive Tournament prize!","",1000,"crazy8","{}",1,8,"iap_game_crazy8_bopping.webp","iap_game_crazy8_bopping_preview.webp","","","","","","","",1049,0,"",""
"20042",1,"Turtle^","Show you're shell-shocked","",125,"","{}",0,1684,"iap_frame_turtle.webp","iap_frame_turtle_preview.webp","","iap_frame_turtle_350x350.webp","","","","","",-1,0,"","under"
"29098",7,"Eliminate Michael","Equip this banner to remove Michael from the Island","",1000,"","{}",1,1586,"iap_banner_xmichael.webp","iap_banner_xmichael_asset.webp","","iap_banner_xmichael_asset.webp","","","","","",-1,0,"",""
"2001",8,"Mystic Wand","Summon magic with this cue in Pool","",2500,"pool","{}",0,1063,"iap_game_pool_mysticwand.webp","iap_game_pool_mysticwand_preview.webp","","","","","","","",1001,0,"",""
"8002",8,"Gold Ball","All that glitters is this Gold Ball in Bowling","",3000,"bowling","{}",0,569,"iap_game_bowling_ball_gold.webp","iap_game_bowling_ball_gold_preview.webp","","","","","","","",1004,0,"",""
"8042",8,"Eid Gift Ball**","Give gifts for they build love among you","",4000,"bowling","{}",1,1406,"iap_game_bowling_ball_eidgift.webp","iap_game_bowling_ball_eidgift_preview.webp","","","","","","","",1042,0,"",""
"60144",6,"Blue Pill","You take the blue pill... the story ends","",250,"","{}",0,904,"iap_badge_bluepill.webp","iap_badge_bluepill_preview.webp","iap_badge_bluepill_54x54.webp","","","","","","",-1,0,"",""
"667",6,"Potty*","The throne of your ultimate sanctuary","",500,"","{}",1,27,"iap_badge_potty.webp","iap_badge_potty_preview.webp","iap_badge_potty_54x54.webp","","","","","","",-1,0,"",""
"2108",8,"Halloween Cat*","Might just cross your path (glow + special sound fx)","",3000,"pool","{}",1,667,"iap_game_pool_halloweencat.webp","iap_game_pool_halloweencat_preview.webp","","","","","","","",1108,0,"",""
"4161",8,"Temple of Atlantis","A temple where vast mysteries dwell\, untouched by time and myths","",750,"crazy8","{}",0,1695,"iap_game_crazy8_templeofatlantis.webp","iap_game_crazy8_templeofatlantis_preview.webp","","","","","","","",1161,1,"",""
"60031",6,"Happy BBQ","Cooking up a big smile","",500,"","{}",0,1615,"iap_badge_happybbq.webp","iap_badge_happybbq_preview.webp","iap_badge_happybbq_54x54.webp","","","","","","",-1,0,"",""
"198",4,"Doki Love Mail**","When you send out real love\, real love will return to you","",5000,"","{}",1,1000,"iap_lovemail_item.webp","iap_lovemail_preview.webp","iap_lovemail_item_54x54.webp","iap_lovemail_asset_2.png","#d5eef7","#f8d9e7","#ffffff","#6bb5e4","",-1,0,"",""
"653",6,"Power Controller","Up\, Down\, Up\, Down\, Left\, Right\, Left\, Right\, A\, B\, Start","",1000,"","{}",0,345,"iap_badge_controller.webp","iap_badge_controller_preview.webp","iap_badge_controller_54x54.webp","","","","","","",-1,0,"",""
"901",7,"Emerald Lass*","The pipes\, the pipes are calling","",1000,"","{}",1,232,"iap_banner_emeraldlass.webp","iap_banner_emeraldlass_asset.webp","","iap_banner_emeraldlass_asset.webp","","","","","",-1,0,"",""
"20097",1,"Pumpkin Frame*","Trick or treat?","",1500,"","{}",1,665,"iap_frame_pumpkin.webp","iap_frame_pumpkin_preview.webp","","iap_frame_pumpkin_350x350.webp","","","","","",-1,0,"","over"
"2013",8,"Medical Syringe","Cure your losing streak with this cue in Pool","",1750,"pool","{}",0,410,"iap_game_pool_syringe.webp","iap_game_pool_syringe_preview.webp","","","","","","","",1013,0,"",""
"20172",1,"Snow White Frame**","Come on\, perk up. Won’t you smile for me?","",3000,"","{}",1,1537,"iap_frame_snowwhite.webp","iap_frame_snowwhite_preview.webp","","iap_frame_snowwhite_350x350.webp","","","","","",-1,0,"","over"
"1011",8,"Paris","Play as Paris in Table Soccer with this team kit","",1000,"tablesoccer","{}",0,406,"iap_game_tablesoccer_paris.webp","iap_game_tablesoccer_paris_preview.webp","","","","","","","",9,0,"",""
"4030",8,"Eastern Dragon","A thousand clouds\, ten thousand streams","",2500,"crazy8","{}",0,886,"iap_game_crazy8_easterndragon.webp","iap_game_crazy8_easterndragon_preview.webp","","","","","","","",1030,0,"",""
"8033",8,"Earth Ball","* Exclusive Bowling Tournament Prize","",4000,"bowling","{}",1,1237,"iap_game_bowling_ball_earth.webp","iap_game_bowling_ball_earth_preview.webp","","","","","","","",1033,0,"",""
"60076",6,"Taj Mahal*","The Crown of the Palace","",1000,"","{}",1,549,"iap_badge_tajmahal.webp","iap_badge_tajmahal_preview.webp","iap_badge_tajmahal_54x54.webp","","","","","","",-1,0,"",""
"641",6,"Acorn*","All epic things have humble beginnings. Grow with me","",125,"","{}",1,124,"iap_badge_acorn.webp","iap_badge_acorn_preview.webp","iap_badge_acorn_54x54.webp","","","","","","",-1,0,"",""
"856",7,"Super Soccer","Ready\, set\, GOAAALLL!","",2500,"","{}",0,359,"iap_banner_supersoccer.webp","iap_banner_supersoccer_anim.webp","","iap_banner_supersoccer_anim.webp","","","","","",-1,0,"",""
"904",7,"Happy Hack*","We're all living in each other's paranoia","",2500,"","{}",1,282,"iap_banner_happyhack.webp","iap_banner_happyhack_anim.webp","","iap_banner_happyhack_anim.webp","","","","","",-1,0,"",""
"957",7,"Bats Flurry","* Exclusive Tournament prize","",5000,"","{}",1,691,"iap_banner_batsflurry.webp","iap_banner_batsflurry_anim.webp","","iap_banner_batsflurry_anim.webp","","","","","",-1,0,"",""
"60221",6,"Windcaller Badge**","Wind Elementalist","",500,"","{}",1,1284,"iap_badge_windcaller.webp","iap_badge_windcaller_preview.webp","iap_badge_windcaller_54x54.webp","","","","","","",-1,0,"",""
"2097",8,"Marshmallow","* Exclusive Pool Tournament prize!","",5000,"pool","{}",1,601,"iap_game_pool_marshmallow.webp","iap_game_pool_marshmallow_preview.webp","","","","","","","",1097,0,"",""
"11001",8,"Christmas Theme","Bring the magic of Christmas to Ludo","",2500,"ludo","{}",0,783,"iap_game_ludo_xmas_2.webp","iap_game_ludo_xmas_preview_2.webp","","","","","","","",1001,0,"",""
"20057",1,"Retro OS Frame*","Windows can sometimes be mirrors into our past","",2500,"","{}",1,284,"iap_frame_retroos2.webp","iap_frame_retroos2_preview.webp","","iap_frame_retroos2_350x350.webp","","","","","",-1,0,"","under"
"4011",8,"Graffiti","Tag your turf in Ocho","",750,"crazy8","{}",0,390,"iap_game_crazy8_graffiti.webp","iap_game_crazy8_graffiti_preview.webp","","","","","","","",1011,0,"",""
"29063",7,"Cottage Life**","Rest where the air is calm","",3000,"","{}",1,1362,"iap_banner_cottagelife_2.webp","iap_banner_cottagelife_asset_2.webp","","iap_banner_cottagelife_asset_2.webp","","","","","",-1,0,"","over"
"60258",6,"Survival Compass**","When in doubt\, be still. The compass show you the way","",500,"","{}",1,1594,"iap_badge_compass.webp","iap_badge_compass_preview.webp","iap_badge_compass_54x54.webp","","","","","","",-1,0,"",""
"60131",6,"Gingerbread Badge**","A cheery\, happy little cookie with a sweet tooth","",500,"","{}",1,776,"iap_badge_gingerbread.webp","iap_badge_gingerbread_preview.webp","iap_badge_gingerbread_54x54.webp","","","","","","",-1,0,"",""
"60217",6,"Dates**","Eating dates is the best way to break a fast","",500,"","{}",1,1370,"iap_badge_dates.webp","iap_badge_dates_preview.webp","iap_badge_dates_54x54_2.webp","","","","","","",-1,0,"",""
"164",4,"Hawaiian","Leave a piece of yourself in the isles","",2500,"","{}",0,464,"iap_hawaii_item.webp","iap_hawaii_preview.webp","iap_hawaii_item_54x54.webp","iap_hawaii_asset.png","#E03514","#B34505","#A65713","#6BBD00","",-1,0,"",""
"2086",8,"Jungle Vines**","Climb the tress to victory (special sound fx)","",5000,"pool","{}",1,1551,"iap_game_pool_junglevines.webp","iap_game_pool_junglevines_preview.webp","","","","","","","",1086,0,"",""
"2117",8,"Gingerbread Cue**","The classic treat that just wants to hug you back (special sound fx)","",10000,"pool","{}",1,793,"iap_game_pool_gingerbread.webp","iap_game_pool_gingerbread_preview.webp","","","","","","","",1117,0,"",""
"2136",8,"Arcana Cue","* Exclusive Pool Tournament prize","",7500,"pool","{}",1,1083,"iap_game_pool_arcanacue.webp","iap_game_pool_arcanacue_preview_2.webp","","","","","","","",1136,0,"",""
"60152",6,"Fireworks Pao","* Exclusive Tournament prize","",1000,"","{}",1,950,"iap_badge_pao.webp","iap_badge_pao_preview.webp","iap_badge_pao_54x54.webp","","","","","","",-1,0,"",""
"20025",1,"Halloween**","Happy Halloween 2020\, Plato!","",100,"","{}",1,147,"iap_frame_halloween.webp","iap_frame_halloween_preview.webp","","iap_frame_halloween_350x350.webp","","","","","",-1,0,"","over"
"862",7,"Puck Shot","Give blood\, play hockey","",2500,"","{}",0,358,"iap_banner_puckshot.webp","iap_banner_puckshot_anim.webp","","iap_banner_puckshot_anim.webp","","","","","",-1,0,"",""
"997",7,"Attic Study","She read books as one would breathe air\, to fill up and read","",2500,"","{}",0,1046,"iap_banner_atticstudy.webp","iap_banner_atticstudy_asset.webp","","iap_banner_atticstudy_asset.webp","","","","","",-1,0,"",""
"6004",8,"Werewolf Hex","Cast an evil spell at a player in Werewolf (30s timer)","",500,"mafia","{}",0,377,"iap_game_mafia_hex.webp","iap_game_mafia_hex_preview.webp","","","","","","","",1004,0,"",""
"8011",8,"Snowball**","Get things rolling with this Snowball in Bowling","",1000,"bowling","{}",1,190,"iap_game_bowling_ball_snowball.webp","iap_game_bowling_ball_snowball_preview.webp","","","","","","","",1011,0,"",""
"2069",8,"Chili Pepper*","That's hot! (special sound fx)","",1000,"pool","{}",1,10,"iap_game_pool_chili.webp","iap_game_pool_chili_preview.webp","","","","","","","",1069,0,"",""
"2163",8,"Pinocchio's Nose**","Lies\, my dear\, can easily be recognized (special sound fx)","",6000,"pool","{}",1,1517,"iap_game_pool_pinocchiosnose.webp","iap_game_pool_pinocchiosnose_preview.webp","","","","","","","",1163,0,"",""
"9010",8,"Ferobite","A quick light attacking fire monster who prevents an opponent's monster from gaining mana

*More details in the Monsterpedia
","",2750,"match3battle","{}",0,723,"iap_game_match3battle_ferobite.webp","iap_game_match3battle_ferobite_preview.webp","","","","","","","",12028,0,"",""
"60063",6,"Warden Shield","\"I shall not yield!\"","",250,"","{}",0,516,"iap_badge_wardenshield.webp","iap_badge_wardenshield_preview.webp","iap_badge_wardenshield_54x54.webp","","","","","","",-1,0,"",""
"2079",8,"Pirate Cutlass","Cut your teeth on this cue (special sound fx)","",3000,"pool","{}",0,874,"iap_game_pool_cutlass.webp","iap_game_pool_cutlass_preview.webp","","","","","","","",1079,0,"",""
"4098",8,"Sourcecode","Iconic green digital code","",1000,"crazy8","{}",0,841,"iap_game_crazy8_matrixcode.webp","iap_game_crazy8_matrixcode_preview.webp","","","","","","","",1098,0,"",""
"811",7,"Shades","Gwaaaahhh! Shout down the haters!","",500,"","{}",0,710,"iap_banner_shades.webp","iap_banner_shades_asset.webp","","iap_banner_shades_asset.webp","","","","","",-1,0,"",""
"2051",8,"Cupid's Cue**","Love always finds its target (special sound fx & glow)","",16000,"pool","{}",1,967,"iap_game_pool_cupidarrow.webp","iap_game_pool_cupidarrow_preview.webp","","","","","","","",1051,0,"",""
"9008",8,"Birchee","A light earth monster who grants berries to their trainer

*More details in the Monsterpedia
","",2750,"match3battle","{}",0,729,"iap_game_match3battle_birchee.webp","iap_game_match3battle_birchee_preview.webp","","","","","","","",12024,0,"",""
"152",4,"Ice Cold**","Plato\, it's cold outside...","",2000,"","{}",1,222,"iap_frozen_item.png","iap_frozen_preview.png","iap_frozen_item_54x54.png","iap_frozen_asset_9.png","#023043","#005071","#005071","#04DEDE","",-1,0,"",""
"792",6,"Turtle Shell","* Exclusive Tournament prize","",500,"","{}",1,93,"iap_badge_turtleshell.webp","iap_badge_turtleshell_preview.webp","iap_badge_turtleshell_54x54.webp","","","","","","",-1,0,"",""
"4148",8,"Blackhole Card","* Exclusive Sci-fi 2022 Prize!","",5000,"crazy8","{}",1,1539,"iap_game_crazy8_blackhole.webp","iap_game_crazy8_blackhole_preview.webp","","","","","","","",1148,0,"",""
"20151",1,"Songkran Frame**","Join in the water-throwing festivities at Songkran Festival","",5000,"","{}",1,1339,"iap_frame_songkran.webp","iap_frame_songkran_preview.webp","","iap_frame_songkran_350x350.webp","","","","","",-1,0,"","over"
"687",6,"Nature's Baby**","The cycle continues","",1000,"","{}",1,1345,"iap_badge_naturebaby.webp","iap_badge_naturebaby_preview.webp","iap_badge_naturebaby_54x54.webp","","","","","","",-1,0,"",""
"60141",6,"God of Dreams","* Exclusive Tournament prize","",1000,"","{}",1,842,"iap_badge_morpheus.webp","iap_badge_morpheus_preview.webp","iap_badge_morpheus_54x54.webp","","","","","","",-1,0,"",""
"168",4,"Argentina","* Exclusive Table Soccer Tournament prize","",5000,"","{}",1,509,"iap_argentina_item.webp","iap_argentina_preview.webp","iap_argentina_item_54x54.webp","iap_argentina_asset.png","#0A7AE8","#4BA6E7","#FFB100","#42BE42","",-1,0,"",""
"8000",8,"Tech Orb","Get electronic and supersonic with this Tech Orb in Bowling","",1500,"bowling","{}",0,1428,"iap_game_bowling_ball_tech.webp","iap_game_bowling_ball_tech_preview.webp","","","","","","","",1009,0,"",""
"60204",6,"Plato 95 Genuine**","This copy of Plato is not genuine","",190,"","{}",1,1254,"iap_badge_plato95.webp","iap_badge_plato95_preview.webp","iap_badge_plato95_54x54.webp","","","","","","",-1,0,"",""
"60054",6,"Pirate Flag","Skull and crossbones forever","",250,"","{}",0,848,"iap_badge_pirateflag.webp","iap_badge_pirateflag_preview.webp","iap_badge_pirateflag_54x54.webp","","","","","","",-1,0,"",""
"60099",6,"Arabica Tea*","You won’t gain knowledge by drinking ink","",500,"","{}",1,627,"iap_badge_arabicatea.webp","iap_badge_arabicatea_preview.webp","iap_badge_arabicatea_54x54.webp","","","","","","",-1,0,"",""
"60271",6,"Pool Party Badge","* Exclusive Tournament Prize!","",1000,"","{}",1,1676,"iap_badge_poolparty.webp","iap_badge_poolparty_preview.webp","iap_badge_poolparty_54x54.webp","","","","","","",-1,0,"",""
"142",4,"Smartphone","I heard you like smartphones so I got you a smartphone for your smartphone","",1000,"","{}",0,314,"iap_smartphone_item.webp","iap_smartphone_preview.webp","iap_smartphone_item_54x54.webp","iap_smartphone_asset.png","#FFFFFF","#FDE59D","#FED761","#44FF82","",-1,0,"",""
"4146",8,"Cyborg Assassin**","Defend yourself against the cyborg assassin","",2000,"crazy8","{}",1,1482,"iap_game_crazy8_terminator.webp","iap_game_crazy8_terminator_preview.webp","","","","","","","",1146,0,"",""
"29012",7,"Wise Lord","* Exclusive Tournament prize","",4000,"","{}",1,1128,"iap_banner_wiselord.webp","iap_banner_wiselord_asset.webp","","iap_banner_wiselord_asset.webp","","","","","",-1,0,"",""
"29079",7,"Abduction","* Exclusive Tournament Prize!","",4000,"","{}",1,1514,"iap_banner_alienabduction.webp","iap_banner_alienabduction_asset.webp","","iap_banner_alienabduction_asset.webp","","","","","",-1,0,"",""
"149",4,"Monster*","He'll eat you up\, he loves you so","",2500,"","{}",1,175,"iap_monster_item.webp","iap_monster_preview.webp","iap_monster_item_54x54.webp","iap_monster_asset.png","#FFFFFF","#F7D49E","#F6A65C","#BFFF22","",-1,0,"",""
"1004",8,"Blue City","Play as Blue City in Table Soccer with this team kit","",1000,"tablesoccer","{}",0,399,"iap_game_tablesoccer_bluecity.webp","iap_game_tablesoccer_bluecity_preview.webp","","","","","","","",14,0,"",""
"4114",8,"Sleepless Night","It's ok if the only thing you did today was breathe","",750,"crazy8","{}",0,1049,"iap_game_crazy8_sleeplessnight.webp","iap_game_crazy8_sleeplessnight_preview.webp","","","","","","","",1114,0,"",""
"20098",1,"Dr Voodoo Frame*","Dress to impress this Halloween","",1500,"","{}",1,664,"iap_frame_drvoodoo.webp","iap_frame_drvoodoo_preview.webp","","iap_frame_drvoodoo_350x350.webp","","","","","",-1,0,"","over"
"7005",8,"No Angel","Give 'em heck with the No Angel sticker in Cup Pong","",250,"cuppong","{}",0,373,"iap_game_cuppong_noangel.webp","iap_game_cuppong_noangel_preview.webp","","","","","","","",1005,0,"",""
"20155",1,"Mushroom Hat**","Whatever you are\, be a good mushroom","",7000,"","{}",1,1397,"iap_frame_mushroom_2.webp","iap_frame_mushroom_preview_2.webp","","iap_frame_mushroom_350x350_2.webp","","","","","",-1,0,"","over"
"60219",6,"Aquarider Badge**","Water Elementalist","",500,"","{}",1,1286,"iap_badge_aquarider.webp","iap_badge_aquarider_preview.webp","iap_badge_aquarider_54x54.webp","","","","","","",-1,0,"",""
"60222",6,"Water Bowl**","Get a splash of Thai culture during the Songkran festival
","",500,"","{}",1,1352,"iap_badge_waterbowl.webp","iap_badge_waterbowl_preview.webp","iap_badge_waterbowl_54x54.webp","","","","","","",-1,0,"",""
"2518",8,"Edge of Universe","* Exclusive Sci-fi 2022 Prize!","",15000,"pool","{}",1,1535,"iap_game_pool_blackhole.webp","iap_game_pool_blackhole_preview.webp","","","","","","","",10018,0,"",""
"20027",1,"Headphones","Turn me up\, turn the music down","",1000,"","{}",0,1029,"iap_frame_headphones.webp","iap_frame_headphones_preview.webp","","iap_frame_headphones_350x350.webp","","","","","",-1,0,"","under"
